comment,raw_score,length,normalized_score,class
this looks like it could be a fan-game,1.0,8,0.125,positive
Arceus : Is my time finally from a long sleep !,0,11,0.0,neutral
Let's just appreciate Cyndaquil's evolution line's 3d models have been fixed,0,11,0.0,neutral
Has to be the best Pokemon game ever released so far,1.0,11,0.09090909090909091,positive
"Sees bidoof""The return of the king""",0,6,0.0,neutral
Getting Siri to narrate this was an interesting play,0,9,0.0,neutral
The new Ancient Pokeballs lookin' nice.,1.0,6,0.16666666666666666,positive
Looks like the game was about to crash during this trailer.,1.0,11,0.09090909090909091,positive
"""But everything changed when the fire nation attacked!""",0,8,0.0,neutral
its fuckin crazy looking at how the game used to look and now,0,13,0.0,neutral
so your telling me we finally get to see the Pokémon battle each other like in front of us and not get directed somewhere else,1.0,24,0.041666666666666664,positive
The gameplay looks fan made. You’d think they’d be able to make it more immersive.,-1.0,15,-0.06666666666666667,negative
"""in this game, we have prepared a brand new experience for you. you'll be catching the pokemon frame by frame""",0,20,0.0,neutral
"""when the Sinnoh region was still ONLY a vast wilderness."" The whole game is just a wild area with one village.",0,21,0.0,neutral
The animations of the Pokémon in the wild have 3 fps wtf,0,12,0.0,neutral
I've always wanted to play BotW in a 15fps mode.,0,10,0.0,neutral
Those backdrops make it look like it's running on the Wii.,1.0,11,0.09090909090909091,positive
they got a high technology that can store a living thing in a small ball but they still wear straw sandals and have run down houses lmao,0,27,0.0,neutral
We’re getting a pokémon game based on what we imagined actual pokémon battles were like,1.0,15,0.06666666666666667,positive
This has so much potential if they just take their time on it,1.0,13,0.07692307692307693,positive
"Pokemon releases this trailerMe: ""if what you have told me is true, you will have gained my trust""",0,18,0.0,neutral
The Legend of Dawn: Breath of the tall grass,0,9,0.0,neutral
“ok so obviously this low quality isnt final and they are going to polish it”,1.0,15,0.06666666666666667,positive
"My friendship with normal Pokemon is over, now Pokémon legends is my new friend.",0,14,0.0,neutral
"""releasing worldwide in early 2022""DOUBT",0,5,0.0,neutral
Surely the environment setting should be more immaculate for a release such as this; you should go all out Nintendo!,0,20,0.0,neutral
"Who else likes starter choices, also not a single being here said""oh cyndaquil has is flames on now""",0,17,0.0,neutral
"So, who's picking Cyndaquil as their starter?",0,7,0.0,neutral
"Remember when sword and shield was ""game footage not final""? Then we ended up with sword and shield game footage not final.",-0.5,20,-0.025,negative
Here to remind myself that PLA had a middling trailer before it had the super hyped trailer after watching that PLZA teaser from the 25 Pokémon presents….,0,27,0.0,neutral
Fans: Is 60 a lot?GF: Depends on the context. Game price? No. Frames per second? Yes.,-1.0,16,-0.0625,negative
"Ah yes, the period where people used to marry Pokémon",1.0,10,0.1,positive
About damn time. I've been waiting for a game centered around Arceus for AGES.,0,14,0.0,neutral
When the trailer has low frame rate...,0,7,0.0,neutral
"A pokemon game that seems to abandon the ""become the champion"" story and gives you more options in the overworld beyond running around and talking to things? Fix the atrocious frame rate issues and this will definitely be a step in the right direction for the pokemon franchise.",0,48,0.0,neutral
"I’m so happy that after such a long time, Nintendo 64 games are still getting made!!!",1.0,16,0.0625,positive
Can we just have the Zelda producers takeover Pokémon at this point? I’m done being satisfied with the bare minimum:/,0,20,0.0,neutral
"Honestly, this looks like a fan-made trailer.",1.0,7,0.14285714285714285,positive
"The remakes are fine, but this was low-key the best announcement.",1.0,11,0.09090909090909091,positive
happy to see them finally giving this a shot. game still looks like it needs a lot of work tho. frame rate was dropping pretty heavy in some shots,2.0,29,0.06896551724137931,positive
"This game looks like it was made in GMod , I’m crying",1.0,12,0.08333333333333333,positive
"Sooooo....... instead of Lucas and Dawn we get Lucas and Dawn’s great great great great grandparents <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😅"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./arceus_files/emoji_u1f605.png"">",0.25,17,0.014705882352941176,positive
Im already ok with a possible delay if it means they get the frame rate right. Looks amazing!,0,18,0.0,neutral
Kinda weird to have something as high tech as a pokeball in that kind of era.,0,16,0.0,neutral
"One and a half years later and game freak still haven't figured out how to properly texture trees. Or like, any of the overworld actually.",0.0,25,0.0,neutral
"""The Pokemon series enters a new era""   ""This is a tale from a long, long time ago.""",0,17,0.0,neutral
looks like gen V remake really will explore the “original dragon”,1.0,11,0.09090909090909091,positive
"Ok ok but what if we had breath of the wild, but in pokemon? - very succesful japanese man",0,19,0.0,neutral
wait. Gamefreak is actually listening to us and gonna try pulling this off? this is a true first for an Official Pokemon game,0,23,0.0,neutral
Came here to recover after watching the Pokémon Legends ZA trailer,0,11,0.0,neutral
"Damn, I've always loved the ancient lore of pokemon but never imagined they would make a whole game based on it. Safe to say im interested",0,26,0.0,neutral
This trailer made me forget sword and shield existed,0,9,0.0,neutral
They better have slowbros evolve after shellders clamp their tails,0,10,0.0,neutral
When you realise there is no Charizard or Mew in the trailer.,-1.0,12,-0.08333333333333333,negative
The frame rate is delicious,0,5,0.0,neutral
This has a lot of potential,1.0,6,0.16666666666666666,positive
how is no one talking about how sick the remix of the arceus theme is,-1.0,15,-0.06666666666666667,negative
This looks like a mod for a completely different game and I'm so into it,1.0,15,0.06666666666666667,positive
"Can't wait to meet a 10 year old Ash Ketchum <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./arceus_files/emoji_u1f602.png"">",0,11,0.0,neutral
"It definitely needs more polishing, otherwise excited for this one.",0,10,0.0,neutral
"Even the piano music sounds like Breath of the Wild!! <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😆"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./arceus_files/emoji_u1f606.png"">",1.0,11,0.09090909090909091,positive
Ngl this makes me excited for the future of the Pokemon series and gives me hope for gen 9. Its a step in the right direction and is the breath of fresh air that the series has long been overdue for.,0,41,0.0,neutral
Please don’t let this be a Cyberpunk 2077 moment.,0,9,0.0,neutral
They should scale the pokemon properly at least,0,8,0.0,neutral
Now we know while they made the wild area. They were test running this.,0,14,0.0,neutral
"Now these pokemon need to interact with the environment during combat, than I’ll be set",0,15,0.0,neutral
They will not be able to polish this game in less than a year.,1.0,13,0.07692307692307693,positive
This is the Pokemon game we've been waiting for,0,9,0.0,neutral
shout out to the fans who made this game,0,9,0.0,neutral
"-this game needs lot of work<span class="""" dir=""auto"" style=""font-weight: 500;"">1 year later",0,8,0.0,neutral
"Rolling in Pokemon: <span class="""" dir=""auto"" style=""font-weight: 500;"">Exists",0,4,0.0,neutral
This needs some heavy optimization but I'm excited to see where its going.,0,13,0.0,neutral
Interesting choice for starters. I’ve used cyndaquil and rowlet enough. Might select oshawott,0,13,0.0,neutral
I....have mixed emotions on this. But intrigued.,0,7,0.0,neutral
I'm still waiting on a Pokemon Stadium because those party games are a treat.,0,14,0.0,neutral
Imagine catching a pokemon with joy con drift lol,0,9,0.0,neutral
One of my favorite things about my favorite region Sinnoh is the soundtrack. This looks very promising,0.5,17,0.029411764705882353,positive
fake trailer. No one optionally captures a Bidoof.,-1.0,8,-0.125,negative
Just imagine 2 best friend Pokémon’s are hanging out and one them gets trapped in a ball forced to fight,1.0,20,0.05,positive
Ghosts of Sinnoh. I'm excited for this. Finally looks like the devs are getting a chance to do something new and creative.,1.0,22,0.045454545454545456,positive
Hope they fix the frame issues and don’t leave it like those trees in SnS.,1.0,15,0.06666666666666667,positive
"Remember the old texts! ""There once were people who married Pokemon...""",0,11,0.0,neutral
Next IdeaPokemon: Return To Monke,0,5,0.0,neutral
they're actually being innovative finally,0,5,0.0,neutral
Let’s just hope those are not the final graphics,0,8,0.0,neutral
Pokemon of the Wild,0,4,0.0,neutral
Came back after the release and just realised there are 2 othe books beneath the Hisui one.Pokemon Legends Kyurem and Zygarde anyone?,0,22,0.0,neutral
"It may be a little slow, but to look at it another way: that means this was actually a running game, and not a cinematic that tries to look like the game.",1.0,31,0.03225806451612903,positive
Finally what we've been dreaming of since 2001. A Pokémon game with Gamecube graphics,0,14,0.0,neutral
"It's interesting to see that since sinnoh is not established yet, they haven't set up a standard for regional starters. This looks great so far.",1.0,24,0.041666666666666664,positive
"And now 11 months later, there probably won’t be another Pokemon game that’ll top this.",0,15,0.0,neutral
There has been so much improvement to the game since this trailer. Seeing the more recent trailers for the game makes me think this could very well be the best pokemon game to date! I'm hoping they do this for other legendaries as well. Imagine Pokemon: Legends Kyurem or Legends Eternatus.,1.0,51,0.0196078431372549,positive
this looks legit cool. Surprise Game Freak even went this far out side of their comfort zone.,1.0,17,0.058823529411764705,positive
The Chingling moving at 3 frames per second is sending me lmfaoooo,0,12,0.0,neutral
"The sigh I let out after watching ZA, only to bring myself here… hi to every who did the same.",0,20,0.0,neutral
Holy crap they actually listenedThanks Game Freak,-1.0,7,-0.14285714285714285,negative
Thank gods it’s gonna be another year because it looks like they have the animations and the textures all ready but that FPS has to be fixed or else we gonna have another cyber punk on our hands,1.0,38,0.02631578947368421,positive
cant wait to see ash in this seeing as he has existed throughout all of time and still remains 10.,0,20,0.0,neutral
Only took em 25 years to listen. Definitely needs an extremely large amount of polish. I’m surprised they even showed it at this stage. Looks like a fan project put together with Unity Asset Store at this pre alpha stage.,2.0,40,0.05,positive
"Aside from some of the footage looking like we were watching a slideshow, are the Pokémon gonna move like scripted NPCs? That shinx getting caught should have sent the other one running away.",-0.5,33,-0.015151515151515152,negative
Damn the trailer really runs at 10 fps,0,8,0.0,neutral
"Imagine a pokemon Ranger like this, that would be so great seeing the pokemon being catch by the stylus in 3d",2.0,21,0.09523809523809523,positive
still looks crazy meeeeh!! it'll be 2022 and they're releasing something that looks like it came out  over half a decade ago,1.0,22,0.045454545454545456,positive
your character can dodge roll like this is suddenly Kingdom Hearts,1.0,11,0.09090909090909091,positive
This definitely looks like it needs a few more years in the oven. It looks like it could has so much potential but given that it's GameFreak I'm sure they'll rush it out a quickly as possible to maximize profit.,0.5,40,0.0125,positive
that framerate though,0,3,0.0,neutral
Just need a graphic improvement and it’ll be PERFECT,1.0,9,0.1111111111111111,positive
If this does well this should be the new base line of expectation. Id love to see a game with those sort of mechanics expanded upon like a big mmo where we could all travel and battle and group up to explore. And see all the regions. It would be epic.,3.0,51,0.058823529411764705,positive
Please don't let this flop. This really looks like what the fans have ALWAYS wanted!,1.0,15,0.06666666666666667,positive
"I'm not surprised at how dated this looks, GameFreak as a company are finally playing catch-up to the rest of the industry after years of coasting on the pokemon IP. This is what happens when you make the same game for 20+ years, with the same mechanics and are suddenly asked to do something new. They're learning lessons the rest of the industry has long ago learned.",0,66,0.0,neutral
Soon: Pokémon Master of darkness: GIRATINA,0,6,0.0,neutral
I’m hyped about actually being able to see the fight,0,10,0.0,neutral
"Pokemon: ""You're gonna be a father!""Zelda BotW: ""You're gonna be a mother!""SWSH: ""I'll be a big brother!""",0,17,0.0,neutral
This game has come a long way,0,7,0.0,neutral
"This looks awesome! ""Breath Of The Wild 2: Gotta Catch Them All""",1.0,12,0.08333333333333333,positive
it’s so refreshing to have some of the more underrated starters get attention like cindaquil and oshawott lmao,1.0,18,0.05555555555555555,positive
Concept is Great just need to see how they Execute this one for me to determine if I’ll buy it,1.0,20,0.05,positive
"Pokémon in the wild: <span class="""" dir=""auto"" style=""font-weight: 500;"">watching his own business",0,8,0.0,neutral
This feels like a better Diamond and pearl remake then the actual DP remakes,1.0,14,0.07142857142857142,positive
"Legend of Pokemon : Breath of ArceusExcept that arceus cant breathe cause he has no freaking mouth<span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./arceus_files/emoji_u1f602.png"">",-1.0,17,-0.058823529411764705,negative
THEY GOT MEH BOI!! THEY GOT CYNDAQUILLL!!!,0,7,0.0,neutral
Pokémon Quest XI: Echoes of Arceus,0,6,0.0,neutral
"They fixed the trees I'm so happy <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😭"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./arceus_files/emoji_u1f62d.png"">",1.0,8,0.125,positive
This reminds me at a game of robotic dinasours to be honest...,0,12,0.0,neutral
“I’m going to eat the MagiKarp”-Sabrina’s Mother,0,7,0.0,neutral
Hmm.. now we are a ninja in sinnoh region but where is froakie evolution line?,0,15,0.0,neutral
"Whoa! Breathe of the wild 2 looks amazing, Wait. Nevermind!",0,10,0.0,neutral
man this fanmade games on a budged get better and better  ... oh wait,0,14,0.0,neutral
"Wait, are we finally going to be able to hear arceus' theme without having to hack",0,16,0.0,neutral
Looks like there’s going to be a lot of time paradoxes here,1.0,12,0.08333333333333333,positive
This seems like a really interesting concept. I'm gonna keep an eye on this game,1.0,15,0.06666666666666667,positive
hope they fix that framerate,0,5,0.0,neutral
So it’s basically “Breath of the Wild” but the Pokémon version.,0,11,0.0,neutral
"The Pokémon Company: “64 bits, 32 bits, 16 bits, 8 bits, <span class="""" dir=""auto"" style=""font-weight: 500;"">TRAILER BITS",0,13,0.0,neutral
LOVE the ingenuity.,1.0,3,0.3333333333333333,positive
This reminds me of Spectrobes: OriginsAND I'M LOVIN' IT,0,9,0.0,neutral
We finally got the open world pokemon game we’ve all been dreaming of.,0,13,0.0,neutral
Arceus: oh my self that's amazing,0,6,0.0,neutral
Youtuber: 1 hour long explanation why the creators chose the starter pokemon for the gameThe creators: they're pretty cool pokemon,1.0,20,0.05,positive
WHY WASNT IT SHOWM ON E3 2021 IM SO CUT,0,10,0.0,neutral
Me expecting 30fps on my switchNintendo:5-10fps take it or leave it!,0,11,0.0,neutral
You can just FEEL the Switch struggling to run this game.,0,11,0.0,neutral
PokeMonHun of the Wild,0,4,0.0,neutral
"Are cyndaquil, Rowlett and oshawott the starters? Cause it makes sense because we will be the first ones to fill the sinnoh pokedex. Thus we get pokemon from other regions as starters.",0,32,0.0,neutral
They're trying to give you guys what you want but they need help BAD.,-1.0,14,-0.07142857142857142,negative
Yall know I'm saving that 6th spot on my team for arceus,0,12,0.0,neutral
The long asked question about how to pronounce arceus has finally been answered!,0,13,0.0,neutral
This looks like a fan made game trailer... how are gamefreak seemingly so far behind?,1.0,15,0.06666666666666667,positive
The book of Genesect: Arceus our lord and savior,0,9,0.0,neutral
This looks more like a proof of concept than an actual trailer from an AAA game studio,1.0,17,0.058823529411764705,positive
Imagine eating some berries with ya boys in the wild and then BAM u in a pokeball paradise by your lonesome,0,21,0.0,neutral
I'm so conflicted! All 3 were my main starters in those generations!,0,12,0.0,neutral
it is weird that an advaced technology like pokeball exist in that kind of era,1.0,15,0.06666666666666667,positive
This looks like a modern game.,1.0,6,0.16666666666666666,positive
That frame rate ... yikes man,0,6,0.0,neutral
So Rowlet is a starter. They can have my money.,0,10,0.0,neutral
"Wtf, even trailer has freezes?!",0,5,0.0,neutral
"This is a new big step in Pokémon games, who knows what improvements we will see on the next game.",0,20,0.0,neutral
Legend of Zinnoh: Frame on the Wild,0,7,0.0,neutral
This looked amazing at first but after the hype passed it watched it a couple more times and yeah it looks like it's been in development for 3 months,2.0,29,0.06896551724137931,positive
This is fulfilling my childhood dreams for an open world Pokemon game,0,12,0.0,neutral
Does this mean we get to see regigigas without slow start and also how it moved around continents?,0,18,0.0,neutral
They better let our own Pokémon walk by us as we travel,0,12,0.0,neutral
Imagine this being developed on Unreal Engine and with better hardware. That’s the dream. 4K 60FPS Open World Pokémon. Fingers crossed we get there in the next decade.,0,28,0.0,neutral
We all know it’s really about Bidoof,0,7,0.0,neutral
Pokémon: budget of the wild,0,5,0.0,neutral
This can be the best Pokémon game ever.,1.0,8,0.125,positive
Imagine how 9th gen game can look like if this looks like it does in the trailer,0.5,17,0.029411764705882353,positive
Trick shot Pokémon catches.,0,4,0.0,neutral
Everyone: talking about how amazing this game could be Me: ROWLETT BOIIIIII,0,12,0.0,neutral
"Oh no, the concept sounds really cool but it looks like a fan made game.",1.0,15,0.06666666666666667,positive
This is amazing about time it's different,0,7,0.0,neutral
"Looks emptier than new vegas mojave, howw",0,7,0.0,neutral
Finally the Pokemon actually MOVE to attack instead of just bounce in place!,0,13,0.0,neutral
It’s about time I’m so happy they are finally making the game we been wanting,1.0,15,0.06666666666666667,positive
I’m happy that my boi arceus my favorite Pokémon lama stuck in a fence is getting his own game,2.0,19,0.10526315789473684,positive
They better take their time on this honestly. This looks very promising,0,12,0.0,neutral
"Gonna need at least 30 more frames per second. Some of the assets are moving at sub 10 FPS <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./arceus_files/emoji_u1f602.png"">",0,20,0.0,neutral
I’ve never been this excited for a pokemon game in my life,0,12,0.0,neutral
"Ok, a couple things the framerate, what's going on with that, and the graphics need serious improvements especially way in the background",0,22,0.0,neutral
I'm waiting for when they release a Team rocket/ villains game.,0,11,0.0,neutral
Please have a difficulty setting for us veteran players!,0,9,0.0,neutral
Damn 20 fps. They should turn the game from switch to pc,0,12,0.0,neutral
Coming back here from the new trailer is crazy. They improved it SO much.,0,14,0.0,neutral
This is what sword and shield should have been!,0,9,0.0,neutral
"Im not gonna lie, this looks like something someone put together in vrchat. But that's just me",1.0,16,0.0625,positive
"Okay, this is starting to look like something worth playing",1.0,10,0.1,positive
Arceus at the end is goated,0,6,0.0,neutral
there better be a primal arceus that's absolutely broken,0,9,0.0,neutral
Those frame rates be dropping faster than my youtube video quality when the wifi goes down by one stage,0,19,0.0,neutral
Dude there better be voice acting in 2022 honestly after all the money we give them,0,16,0.0,neutral
Arceus saw how they handled Sword and Shield and had something to say about it,0,15,0.0,neutral
Who’s here still waiting patiently for this too come out?,0,10,0.0,neutral
Just took breath of the wild and put Pokémon mods on it,0,12,0.0,neutral
It's actually the most like the way they portray it in the anime,1.0,13,0.07692307692307693,positive
Pokemon breath of the wild?,0,5,0.0,neutral
Now this looks like a  pokemon game that is worthy of a home console release.,1.0,15,0.06666666666666667,positive
Genuinely thought they were advertising a ROBLOX game here for a few seconds,0,13,0.0,neutral
"""Mom can we have breath of the wild 2?"" ""We have breath of the wild 2 at home.""Breath of the Wild 2 at home:",0,24,0.0,neutral
A new pokémon game this early I'm surprised let's hope it doesn't turn out sword and shield,0,17,0.0,neutral
Been waiting a long time for this game hope there's voice acting that would be great,1.0,16,0.0625,positive
"My inner child: YOU'LL BE ABLE TO GET THEM ALL WITHIN A SINGLE GAME, WITHOUT TRADING, AND YOU WILL BE ABLE TO TAKE FERRIS TO EXPLORE A L L THE R E G I O N S FROM PAST GAMES, FACE EVERY ELITE 4, EVERY REGION'S CHAMPION, RED TOO, YOU WILL GO TO THE DIFFERENT BATTLE FRONTIERS AND SAFARI REGIONS (EMERALD INCLUDED), DISTORSION WORLD, A FINAL GAME, A FINAL GAME TO HAVE AND DO IT ALL!My functioning brain: i'm pretty sure this literally won't be it and it is somehow going to let us down",0,95,0.0,neutral
This open world wii game looks fun!,1.0,7,0.14285714285714285,positive
"Please Nintendo, don't rush this one, we can wait whatever you need, we would love this game to look beautiful and less laggy",1.0,23,0.043478260869565216,positive
the framerate tho. lol,0,4,0.0,neutral
Are they freaking finally releasing a pokemon game in wich you can fight just like that in the wild and really throw pokeballs on a savage pkmn omfg my childhood dreaaaam,1.0,31,0.03225806451612903,positive
Hell yeah can't wait for this and the DP Remakes!,0,10,0.0,neutral
After dropping 60 on sword I'll wait,0,7,0.0,neutral
“Trying new things” Also nintendo: lets take zelda map shade it and make a pokemon game!,0,16,0.0,neutral
"Ah yes, a 10 year old will capture the creator of <span class="""" dir=""auto"" style=""font-weight: 500;"">EVERYTHING",1.0,12,0.08333333333333333,positive
Finally ! I've been waiting for a pokemon visual novel for a long time !,0,15,0.0,neutral
Nintendo finally hired this man.,0,5,0.0,neutral
"That's an interesting selection of starters, literally my favourite of each generation it's a part of",0,16,0.0,neutral
The release dates have now been confirmed for January 2022!,0,10,0.0,neutral
"Imagine at the end of the game, you catch Arceus and become the Champion. And then the screen goes blackYou see a book being closedLIKE THATS EVER GONNA HAPPEN",0,29,0.0,neutral
"Oh and don't worry guys, we've got a year before they release this.",0,13,0.0,neutral
I'm more excited for this than the Sinnoh remakes.,0,9,0.0,neutral
"Me: Sees Rowlet, Cindequil, and Oshowatt as startersAlso me: <span class="""" dir=""auto"" style=""font-weight: 500;"">visible confusion",0,11,0.0,neutral
"It's concerning how many animation issues there are for a game being released on January 28th, 2022.",0,17,0.0,neutral
I came back to this trailer to drain my eyes from legends ZA,0,13,0.0,neutral
"ok cool concept. What we have always wanted but still looks severely lacking.... We'll see, not on the hype train yet",2.0,20,0.1,positive
dont hype this game to much or else they will over price the hell out of this game and dlcs,0.0,20,0.0,neutral
The Legend of Zygarde: Breath of the Wailord,0,8,0.0,neutral
If only pokemon was real,0,5,0.0,neutral
"Just watched the legends Z A trailer and came back to this,this is soo much better.",0,16,0.0,neutral
Can we take in consideration that they literally picked the best of those region's starters?,1.0,15,0.06666666666666667,positive
Not bad for an unfinished game! They need to polish it a lot because some of these Pokémon moving at 15 FPS.,1.0,21,0.047619047619047616,positive
Expectation: dokevReality : this,0,4,0.0,neutral
Are you telling me this an official updated pokemon game with moderniized style play style real time battles and stealth mechanics?? Don't you dare toy with me Nintendo.,0,28,0.0,neutral
didn't one of the books in a library in gen 4 say that long ago humans and pokemon would get married because they were seen as the same?If this game is in the past....Are we bout to marry some pokemon? ._.,0,41,0.0,neutral
"""Pokémon Legends"" - does that mean there are going to be more than just the Arceus game? <span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""🤞"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./arceus_files/emoji_u1f91e.png"">",0,18,0.0,neutral
"The two player characters in Pokemon Legends Arceus look like ninjas<span class=""ytAttributedStringInlineBlockMod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""🐱"" class=""ytCoreImageHost ytAttributedStringImageElement ytAttributedStringImageAlignmentVerticalCenter ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./arceus_files/emoji_u1f431.png"">",1.0,11,0.09090909090909091,positive
Game freak spent their whole gen 8 budget on this....you can't tell me otherwise,0,14,0.0,neutral
The legend of ash: breath of the garchomp,0,8,0.0,neutral
they finally changed the formula.ONLY TOOK 20+ YEARS,0,8,0.0,neutral
This is what people were expecting from Sword and Shield.,0,10,0.0,neutral
Pokémon at 4 fps. That's just what we needed.,0,9,0.0,neutral
